date,transaction_id,description,category,type,amount,balance
10-04-2022,TX00122,Maintenance Payment,Operating Expense,Debit,239,88398
11-04-2022,TX00123,Daily Sales Deposit,Sales Revenue,Credit,436,88834
12-04-2022,TX00124,Daily Sales Deposit,Sales Revenue,Credit,408,89242
13-04-2022,TX00125,Daily Sales Deposit,Sales Revenue,Credit,546,89788
14-04-2022,TX00126,Daily Sales Deposit,Sales Revenue,Credit,530,90318
15-04-2022,TX00127,Daily Sales Deposit,Sales Revenue,Credit,453,90771
16-04-2022,TX00128,Daily Sales Deposit,Sales Revenue,Credit,515,91286
16-04-2022,TX00129,Rent Payment,Operating Expense,Debit,203,91083
17-04-2022,TX00130,Daily Sales Deposit,Sales Revenue,Credit,653,91736
17-04-2022,TX00131,Bakery Payment,COGS,Debit,198,91538
18-04-2022,TX00132,Daily Sales Deposit,Sales Revenue,Credit,748,92286
19-04-2022,TX00133,Daily Sales Deposit,Sales Revenue,Credit,765,93051
20-04-2022,TX00134,Daily Sales Deposit,Sales Revenue,Credit,709,93760
21-04-2022,TX00135,Daily Sales Deposit,Sales Revenue,Credit,568,94328
21-04-2022,TX00136,Bakery Payment,COGS,Debit,167,94161
22-04-2022,TX00137,Daily Sales Deposit,Sales Revenue,Credit,797,94958
23-04-2022,TX00138,Daily Sales Deposit,Sales Revenue,Credit,783,95741
24-04-2022,TX00139,Daily Sales Deposit,Sales Revenue,Credit,594,96335
25-04-2022,TX00140,Daily Sales Deposit,Sales Revenue,Credit,432,96767
26-04-2022,TX00141,Daily Sales Deposit,Sales Revenue,Credit,770,97537
27-04-2022,TX00142,Daily Sales Deposit,Sales Revenue,Credit,421,97958
28-04-2022,TX00143,Daily Sales Deposit,Sales Revenue,Credit,437,98395
29-04-2022,TX00144,Daily Sales Deposit,Sales Revenue,Credit,450,98845
30-04-2022,TX00145,Daily Sales Deposit,Sales Revenue,Credit,682,99527
01-05-2022,TX00146,Daily Sales Deposit,Sales Revenue,Credit,676,100203
02-05-2022,TX00147,Daily Sales Deposit,Sales Revenue,Credit,683,100886
03-05-2022,TX00148,Daily Sales Deposit,Sales Revenue,Credit,716,101602
04-05-2022,TX00149,Daily Sales Deposit,Sales Revenue,Credit,403,102005
04-05-2022,TX00150,Bakery Payment,COGS,Debit,148,101857
05-05-2022,TX00151,Daily Sales Deposit,Sales Revenue,Credit,571,102428
06-05-2022,TX00152,Daily Sales Deposit,Sales Revenue,Credit,445,102873
07-05-2022,TX00153,Daily Sales Deposit,Sales Revenue,Credit,498,103371
08-05-2022,TX00154,Daily Sales Deposit,Sales Revenue,Credit,436,103807
09-05-2022,TX00155,Daily Sales Deposit,Sales Revenue,Credit,701,104508
10-05-2022,TX00156,Daily Sales Deposit,Sales Revenue,Credit,498,105006
11-05-2022,TX00157,Daily Sales Deposit,Sales Revenue,Credit,515,105521
12-05-2022,TX00158,Daily Sales Deposit,Sales Revenue,Credit,560,106081
13-05-2022,TX00159,Daily Sales Deposit,Sales Revenue,Credit,527,106608
14-05-2022,TX00160,Daily Sales Deposit,Sales Revenue,Credit,622,107230
15-05-2022,TX00161,Daily Sales Deposit,Sales Revenue,Credit,722,107952
16-05-2022,TX00162,Daily Sales Deposit,Sales Revenue,Credit,679,108631
17-05-2022,TX00163,Daily Sales Deposit,Sales Revenue,Credit,741,109372
18-05-2022,TX00164,Daily Sales Deposit,Sales Revenue,Credit,526,109898
19-05-2022,TX00165,Daily Sales Deposit,Sales Revenue,Credit,785,110683
20-05-2022,TX00166,Daily Sales Deposit,Sales Revenue,Credit,503,111186
21-05-2022,TX00167,Daily Sales Deposit,Sales Revenue,Credit,698,111884
22-05-2022,TX00168,Daily Sales Deposit,Sales Revenue,Credit,438,112322
23-05-2022,TX00169,Daily Sales Deposit,Sales Revenue,Credit,646,112968
24-05-2022,TX00170,Daily Sales Deposit,Sales Revenue,Credit,705,113673
25-05-2022,TX00171,Daily Sales Deposit,Sales Revenue,Credit,412,114085
25-05-2022,TX00172,Bakery Payment,COGS,Debit,490,113595
26-05-2022,TX00173,Daily Sales Deposit,Sales Revenue,Credit,435,114030
27-05-2022,TX00174,Daily Sales Deposit,Sales Revenue,Credit,720,114750
27-05-2022,TX00175,Rent Payment,Operating Expense,Debit,499,114251
28-05-2022,TX00176,Daily Sales Deposit,Sales Revenue,Credit,770,115021
29-05-2022,TX00177,Daily Sales Deposit,Sales Revenue,Credit,491,115512
30-05-2022,TX00178,Daily Sales Deposit,Sales Revenue,Credit,687,116199
31-05-2022,TX00179,Daily Sales Deposit,Sales Revenue,Credit,741,116940
01-06-2022,TX00180,Daily Sales Deposit,Sales Revenue,Credit,585,117525
02-06-2022,TX00181,Daily Sales Deposit,Sales Revenue,Credit,524,118049
03-06-2022,TX00182,Daily Sales Deposit,Sales Revenue,Credit,457,118506
03-06-2022,TX00183,Coffee Supplier Payment,COGS,Debit,279,118227
04-06-2022,TX00184,Daily Sales Deposit,Sales Revenue,Credit,725,118952
05-06-2022,TX00185,Daily Sales Deposit,Sales Revenue,Credit,500,119452
06-06-2022,TX00186,Daily Sales Deposit,Sales Revenue,Credit,452,119904
07-06-2022,TX00187,Daily Sales Deposit,Sales Revenue,Credit,507,120411
08-06-2022,TX00188,Daily Sales Deposit,Sales Revenue,Credit,595,121006
09-06-2022,TX00189,Daily Sales Deposit,Sales Revenue,Credit,771,121777
10-06-2022,TX00190,Daily Sales Deposit,Sales Revenue,Credit,754,122531
11-06-2022,TX00191,Daily Sales Deposit,Sales Revenue,Credit,707,123238
11-06-2022,TX00192,Rent Payment,Operating Expense,Debit,469,122769
12-06-2022,TX00193,Daily Sales Deposit,Sales Revenue,Credit,505,123274
13-06-2022,TX00194,Daily Sales Deposit,Sales Revenue,Credit,544,123818
14-06-2022,TX00195,Daily Sales Deposit,Sales Revenue,Credit,674,124492
15-06-2022,TX00196,Daily Sales Deposit,Sales Revenue,Credit,745,125237
15-06-2022,TX00197,Bakery Payment,COGS,Debit,216,125021
16-06-2022,TX00198,Daily Sales Deposit,Sales Revenue,Credit,795,125816
17-06-2022,TX00199,Daily Sales Deposit,Sales Revenue,Credit,457,126273
18-06-2022,TX00200,Daily Sales Deposit,Sales Revenue,Credit,638,126911
19-06-2022,TX00201,Daily Sales Deposit,Sales Revenue,Credit,525,127436
19-06-2022,TX00202,Maintenance Payment,Operating Expense,Debit,188,127248
20-06-2022,TX00203,Daily Sales Deposit,Sales Revenue,Credit,772,128020
21-06-2022,TX00204,Daily Sales Deposit,Sales Revenue,Credit,588,128608
22-06-2022,TX00205,Daily Sales Deposit,Sales Revenue,Credit,468,129076
23-06-2022,TX00206,Daily Sales Deposit,Sales Revenue,Credit,646,129722
23-06-2022,TX00207,Utility Bill Payment,Operating Expense,Debit,253,129469
24-06-2022,TX00208,Daily Sales Deposit,Sales Revenue,Credit,485,129954
24-06-2022,TX00209,Maintenance Payment,Operating Expense,Debit,319,129635
25-06-2022,TX00210,Daily Sales Deposit,Sales Revenue,Credit,446,130081
25-06-2022,TX00211,Rent Payment,Operating Expense,Debit,337,129744
26-06-2022,TX00212,Daily Sales Deposit,Sales Revenue,Credit,603,130347
26-06-2022,TX00213,Rent Payment,Operating Expense,Debit,440,129907
27-06-2022,TX00214,Daily Sales Deposit,Sales Revenue,Credit,688,130595
28-06-2022,TX00215,Daily Sales Deposit,Sales Revenue,Credit,756,131351
29-06-2022,TX00216,Daily Sales Deposit,Sales Revenue,Credit,409,131760
30-06-2022,TX00217,Daily Sales Deposit,Sales Revenue,Credit,499,132259
30-06-2022,TX00218,Coffee Supplier Payment,COGS,Debit,322,131937
01-07-2022,TX00219,Daily Sales Deposit,Sales Revenue,Credit,749,132686
02-07-2022,TX00220,Daily Sales Deposit,Sales Revenue,Credit,595,133281
03-07-2022,TX00221,Daily Sales Deposit,Sales Revenue,Credit,824,134105
04-07-2022,TX00222,Daily Sales Deposit,Sales Revenue,Credit,515,134620
04-07-2022,TX00223,Coffee Supplier Payment,COGS,Debit,346,134274
05-07-2022,TX00224,Daily Sales Deposit,Sales Revenue,Credit,996,135270
06-07-2022,TX00225,Daily Sales Deposit,Sales Revenue,Credit,659,135929
07-07-2022,TX00226,Daily Sales Deposit,Sales Revenue,Credit,651,136580
08-07-2022,TX00227,Daily Sales Deposit,Sales Revenue,Credit,662,137242
09-07-2022,TX00228,Daily Sales Deposit,Sales Revenue,Credit,916,138158
10-07-2022,TX00229,Daily Sales Deposit,Sales Revenue,Credit,926,139084
11-07-2022,TX00230,Daily Sales Deposit,Sales Revenue,Credit,822,139906
12-07-2022,TX00231,Daily Sales Deposit,Sales Revenue,Credit,667,140573
13-07-2022,TX00232,Daily Sales Deposit,Sales Revenue,Credit,543,141116
14-07-2022,TX00233,Daily Sales Deposit,Sales Revenue,Credit,511,141627
14-07-2022,TX00234,Maintenance Payment,Operating Expense,Debit,485,141142
15-07-2022,TX00235,Daily Sales Deposit,Sales Revenue,Credit,998,142140
16-07-2022,TX00236,Daily Sales Deposit,Sales Revenue,Credit,714,142854
16-07-2022,TX00237,Maintenance Payment,Operating Expense,Debit,363,142491
17-07-2022,TX00238,Daily Sales Deposit,Sales Revenue,Credit,909,143400
18-07-2022,TX00239,Daily Sales Deposit,Sales Revenue,Credit,917,144317
19-07-2022,TX00240,Daily Sales Deposit,Sales Revenue,Credit,890,145207
19-07-2022,TX00241,Maintenance Payment,Operating Expense,Debit,213,144994
20-07-2022,TX00242,Daily Sales Deposit,Sales Revenue,Credit,574,145568
21-07-2022,TX00243,Daily Sales Deposit,Sales Revenue,Credit,919,146487
22-07-2022,TX00244,Daily Sales Deposit,Sales Revenue,Credit,748,147235
23-07-2022,TX00245,Daily Sales Deposit,Sales Revenue,Credit,856,148091
24-07-2022,TX00246,Daily Sales Deposit,Sales Revenue,Credit,691,148782
25-07-2022,TX00247,Daily Sales Deposit,Sales Revenue,Credit,598,149380
26-07-2022,TX00248,Daily Sales Deposit,Sales Revenue,Credit,965,150345
27-07-2022,TX00249,Daily Sales Deposit,Sales Revenue,Credit,595,150940
28-07-2022,TX00250,Daily Sales Deposit,Sales Revenue,Credit,689,151629
29-07-2022,TX00251,Daily Sales Deposit,Sales Revenue,Credit,767,152396
30-07-2022,TX00252,Daily Sales Deposit,Sales Revenue,Credit,512,152908
31-07-2022,TX00253,Daily Sales Deposit,Sales Revenue,Credit,854,153762
31-07-2022,TX00254,Bakery Payment,COGS,Debit,372,153390
01-08-2022,TX00255,Daily Sales Deposit,Sales Revenue,Credit,561,153951
02-08-2022,TX00256,Daily Sales Deposit,Sales Revenue,Credit,716,154667
03-08-2022,TX00257,Daily Sales Deposit,Sales Revenue,Credit,686,155353
03-08-2022,TX00258,Rent Payment,Operating Expense,Debit,199,155154
04-08-2022,TX00259,Daily Sales Deposit,Sales Revenue,Credit,944,156098
05-08-2022,TX00260,Daily Sales Deposit,Sales Revenue,Credit,575,156673
06-08-2022,TX00261,Daily Sales Deposit,Sales Revenue,Credit,783,157456
07-08-2022,TX00262,Daily Sales Deposit,Sales Revenue,Credit,883,158339
08-08-2022,TX00263,Daily Sales Deposit,Sales Revenue,Credit,866,159205
08-08-2022,TX00264,Utility Bill Payment,Operating Expense,Debit,168,159037
09-08-2022,TX00265,Daily Sales Deposit,Sales Revenue,Credit,895,159932
10-08-2022,TX00266,Daily Sales Deposit,Sales Revenue,Credit,878,160810
11-08-2022,TX00267,Daily Sales Deposit,Sales Revenue,Credit,552,161362
12-08-2022,TX00268,Daily Sales Deposit,Sales Revenue,Credit,556,161918
12-08-2022,TX00269,Coffee Supplier Payment,COGS,Debit,280,161638
13-08-2022,TX00270,Daily Sales Deposit,Sales Revenue,Credit,685,162323
13-08-2022,TX00271,Coffee Supplier Payment,COGS,Debit,322,162001
14-08-2022,TX00272,Daily Sales Deposit,Sales Revenue,Credit,632,162633
15-08-2022,TX00273,Daily Sales Deposit,Sales Revenue,Credit,720,163353
16-08-2022,TX00274,Daily Sales Deposit,Sales Revenue,Credit,645,163998
17-08-2022,TX00275,Daily Sales Deposit,Sales Revenue,Credit,508,164506
18-08-2022,TX00276,Daily Sales Deposit,Sales Revenue,Credit,991,165497
19-08-2022,TX00277,Daily Sales Deposit,Sales Revenue,Credit,729,166226
19-08-2022,TX00278,Coffee Supplier Payment,COGS,Debit,240,165986
20-08-2022,TX00279,Daily Sales Deposit,Sales Revenue,Credit,892,166878
21-08-2022,TX00280,Daily Sales Deposit,Sales Revenue,Credit,621,167499
21-08-2022,TX00281,Maintenance Payment,Operating Expense,Debit,128,167371
22-08-2022,TX00282,Daily Sales Deposit,Sales Revenue,Credit,921,168292
23-08-2022,TX00283,Daily Sales Deposit,Sales Revenue,Credit,995,169287
24-08-2022,TX00284,Daily Sales Deposit,Sales Revenue,Credit,841,170128
25-08-2022,TX00285,Daily Sales Deposit,Sales Revenue,Credit,826,170954
26-08-2022,TX00286,Daily Sales Deposit,Sales Revenue,Credit,631,171585
27-08-2022,TX00287,Daily Sales Deposit,Sales Revenue,Credit,751,172336
27-08-2022,TX00288,Utility Bill Payment,Operating Expense,Debit,463,171873
28-08-2022,TX00289,Daily Sales Deposit,Sales Revenue,Credit,701,172574
29-08-2022,TX00290,Daily Sales Deposit,Sales Revenue,Credit,538,173112
30-08-2022,TX00291,Daily Sales Deposit,Sales Revenue,Credit,672,173784
30-08-2022,TX00292,Coffee Supplier Payment,COGS,Debit,319,173465
31-08-2022,TX00293,Daily Sales Deposit,Sales Revenue,Credit,647,174112
31-08-2022,TX00294,Bakery Payment,COGS,Debit,416,173696
01-09-2022,TX00295,Daily Sales Deposit,Sales Revenue,Credit,1122,174818
02-09-2022,TX00296,Daily Sales Deposit,Sales Revenue,Credit,1160,175978
03-09-2022,TX00297,Daily Sales Deposit,Sales Revenue,Credit,890,176868
04-09-2022,TX00298,Daily Sales Deposit,Sales Revenue,Credit,1108,177976
05-09-2022,TX00299,Daily Sales Deposit,Sales Revenue,Credit,1121,179097
06-09-2022,TX00300,Daily Sales Deposit,Sales Revenue,Credit,757,179854
06-09-2022,TX00301,Maintenance Payment,Operating Expense,Debit,259,179595
07-09-2022,TX00302,Daily Sales Deposit,Sales Revenue,Credit,1016,180611
08-09-2022,TX00303,Daily Sales Deposit,Sales Revenue,Credit,779,181390
09-09-2022,TX00304,Daily Sales Deposit,Sales Revenue,Credit,902,182292
10-09-2022,TX00305,Daily Sales Deposit,Sales Revenue,Credit,863,183155
11-09-2022,TX00306,Daily Sales Deposit,Sales Revenue,Credit,719,183874
11-09-2022,TX00307,Bakery Payment,COGS,Debit,146,183728
12-09-2022,TX00308,Daily Sales Deposit,Sales Revenue,Credit,1004,184732
13-09-2022,TX00309,Daily Sales Deposit,Sales Revenue,Credit,1114,185846
14-09-2022,TX00310,Daily Sales Deposit,Sales Revenue,Credit,753,186599
15-09-2022,TX00311,Daily Sales Deposit,Sales Revenue,Credit,843,187442
16-09-2022,TX00312,Daily Sales Deposit,Sales Revenue,Credit,1158,188600
17-09-2022,TX00313,Daily Sales Deposit,Sales Revenue,Credit,923,189523
17-09-2022,TX00314,Rent Payment,Operating Expense,Debit,457,189066
18-09-2022,TX00315,Daily Sales Deposit,Sales Revenue,Credit,1107,190173
19-09-2022,TX00316,Daily Sales Deposit,Sales Revenue,Credit,707,190880
19-09-2022,TX00317,Coffee Supplier Payment,COGS,Debit,263,190617
20-09-2022,TX00318,Daily Sales Deposit,Sales Revenue,Credit,835,191452
21-09-2022,TX00319,Daily Sales Deposit,Sales Revenue,Credit,877,192329
22-09-2022,TX00320,Daily Sales Deposit,Sales Revenue,Credit,1056,193385
23-09-2022,TX00321,Daily Sales Deposit,Sales Revenue,Credit,891,194276
24-09-2022,TX00322,Daily Sales Deposit,Sales Revenue,Credit,1146,195422
25-09-2022,TX00323,Daily Sales Deposit,Sales Revenue,Credit,1116,196538
26-09-2022,TX00324,Daily Sales Deposit,Sales Revenue,Credit,1160,197698
27-09-2022,TX00325,Daily Sales Deposit,Sales Revenue,Credit,1112,198810
27-09-2022,TX00326,Maintenance Payment,Operating Expense,Debit,134,198676
28-09-2022,TX00327,Daily Sales Deposit,Sales Revenue,Credit,1089,199765
29-09-2022,TX00328,Daily Sales Deposit,Sales Revenue,Credit,955,200720
30-09-2022,TX00329,Daily Sales Deposit,Sales Revenue,Credit,1108,201828
01-10-2022,TX00330,Daily Sales Deposit,Sales Revenue,Credit,1011,202839
02-10-2022,TX00331,Daily Sales Deposit,Sales Revenue,Credit,950,203789
02-10-2022,TX00332,Bakery Payment,COGS,Debit,218,203571
03-10-2022,TX00333,Daily Sales Deposit,Sales Revenue,Credit,1073,204644
04-10-2022,TX00334,Daily Sales Deposit,Sales Revenue,Credit,923,205567
05-10-2022,TX00335,Daily Sales Deposit,Sales Revenue,Credit,966,206533
06-10-2022,TX00336,Daily Sales Deposit,Sales Revenue,Credit,762,207295
07-10-2022,TX00337,Daily Sales Deposit,Sales Revenue,Credit,1014,208309
08-10-2022,TX00338,Daily Sales Deposit,Sales Revenue,Credit,1160,209469
08-10-2022,TX00339,Utility Bill Payment,Operating Expense,Debit,204,209265
09-10-2022,TX00340,Daily Sales Deposit,Sales Revenue,Credit,1084,210349
09-10-2022,TX00341,Rent Payment,Operating Expense,Debit,410,209939
10-10-2022,TX00342,Daily Sales Deposit,Sales Revenue,Credit,1164,211103
11-10-2022,TX00343,Daily Sales Deposit,Sales Revenue,Credit,832,211935
12-10-2022,TX00344,Daily Sales Deposit,Sales Revenue,Credit,1136,213071
13-10-2022,TX00345,Daily Sales Deposit,Sales Revenue,Credit,752,213823
14-10-2022,TX00346,Daily Sales Deposit,Sales Revenue,Credit,1157,214980
15-10-2022,TX00347,Daily Sales Deposit,Sales Revenue,Credit,784,215764
16-10-2022,TX00348,Daily Sales Deposit,Sales Revenue,Credit,1065,216829
17-10-2022,TX00349,Daily Sales Deposit,Sales Revenue,Credit,872,217701
18-10-2022,TX00350,Daily Sales Deposit,Sales Revenue,Credit,1145,218846
19-10-2022,TX00351,Daily Sales Deposit,Sales Revenue,Credit,1187,220033
20-10-2022,TX00352,Daily Sales Deposit,Sales Revenue,Credit,1047,221080
21-10-2022,TX00353,Daily Sales Deposit,Sales Revenue,Credit,738,221818
